date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:44:14	117/117	---M-Z	200	added ('OK')	text/plain	etag:%22912-1716877821;gz%22	https://wordpressboss.com/robots.txt		(from )
21:44:15	19234/19234	---M-Z	200	added ('OK')	text/html	etag:%224b22-66562529-b32f49d7f09ae1ed;gz%22	https://wordpressboss.com/cp/wize-demo/	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/index.html	(from )
21:44:16	4794/4794	---M--	200	added ('OK')	image/png	etag:%2212ba-664be6ae-bd66a28511c36d29;;;%22	https://wordpressboss.com/cp/wize-demo/assets/images/favicon.png	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/images/favicon.png	(from https://wordpressboss.com/cp/wize-demo/)
21:44:17	155845/155845	---M-Z	200	added ('OK')	text/css	etag:%22260c5-664be688-a9cc8b3b3dac3890;gz%22	https://wordpressboss.com/cp/wize-demo/assets/css/bootstrap.min.css	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/css/bootstrap.min.css	(from https://wordpressboss.com/cp/wize-demo/)
21:44:19	138761/138761	---M-Z	200	added ('OK')	text/css	etag:%2221e09-664be689-6b10ab37e91846f7;gz%22	https://wordpressboss.com/cp/wize-demo/assets/fonts/remixicon.css	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/fonts/remixicon.css	(from https://wordpressboss.com/cp/wize-demo/)
21:44:20	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-664be688-2108c02305843cfb;gz%22	https://wordpressboss.com/cp/wize-demo/assets/css/magnific-popup.css	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/css/magnific-popup.css	(from https://wordpressboss.com/cp/wize-demo/)
21:44:21	3076/3076	---M-Z	200	added ('OK')	text/css	etag:%22c04-664be688-974f7a9e09de1e5f;gz%22	https://wordpressboss.com/cp/wize-demo/assets/css/nice-select.min.css	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/css/nice-select.min.css	(from https://wordpressboss.com/cp/wize-demo/)
21:44:22	59675/59675	---M-Z	200	added ('OK')	text/css	etag:%22e91b-664be687-3ee9d2b13d1b7dea;gz%22	https://wordpressboss.com/cp/wize-demo/assets/css/animate.min.css	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/css/animate.min.css	(from https://wordpressboss.com/cp/wize-demo/)
21:44:23	1346/1346	---M-Z	200	added ('OK')	text/css	etag:%22542-664be688-c0b0a8bb54feac8b;gz%22	https://wordpressboss.com/cp/wize-demo/assets/css/slick.min.css	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/css/slick.min.css	(from https://wordpressboss.com/cp/wize-demo/)
21:44:24	42573/42573	---M-Z	200	added ('OK')	text/css	etag:%22a64d-664be689-c06612b71c431788;gz%22	https://wordpressboss.com/cp/wize-demo/assets/css/spacing.css	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/css/spacing.css	(from https://wordpressboss.com/cp/wize-demo/)
21:44:25	69118/69118	---M-Z	200	added ('OK')	text/css	etag:%2210dfe-664be689-d75c68aa1c22834;gz%22	https://wordpressboss.com/cp/wize-demo/assets/css/style.css	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/css/style.css	(from https://wordpressboss.com/cp/wize-demo/)
21:44:26	26385/26385	---M-Z	200	added ('OK')	text/css	etag:%226711-664be688-133acc9e83bb3112;gz%22	https://wordpressboss.com/cp/wize-demo/assets/css/responsive.css	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/css/responsive.css	(from https://wordpressboss.com/cp/wize-demo/)
21:44:27	19234/19234	---M-Z	200	added ('OK')	text/html	etag:%224b22-66562529-b32f49d7f09ae1ed;gz%22	https://wordpressboss.com/cp/wize-demo/index.html	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/index-2.html	(from https://wordpressboss.com/cp/wize-demo/)
21:44:28	14596/14596	---M--	200	added ('OK')	image/png	date:Thu,%2030%20May%202024%2004:44:27%20GMT	https://wordpressboss.com/cp/wize-demo/assets/images/logos/logo.png	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/images/logos/logo.png	(from https://wordpressboss.com/cp/wize-demo/)
21:44:29	23251/23251	---M-Z	200	added ('OK')	text/html	etag:%225ad3-6656252a-6226d9e42dea0fbb;gz%22	https://wordpressboss.com/cp/wize-demo/about.html	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/about.html	(from https://wordpressboss.com/cp/wize-demo/)
21:44:30	16719/16719	---M-Z	200	added ('OK')	text/html	etag:%22414f-66562529-ea9d76dd45bf92a5;gz%22	https://wordpressboss.com/cp/wize-demo/projects.html	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/projects.html	(from https://wordpressboss.com/cp/wize-demo/)
21:44:31	15982/15982	---M-Z	200	added ('OK')	text/html	etag:%223e6e-6656252a-b894930c727df899;gz%22	https://wordpressboss.com/cp/wize-demo/blog.html	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/blog.html	(from https://wordpressboss.com/cp/wize-demo/)
21:44:32	14024/14024	---M-Z	200	added ('OK')	text/html	etag:%2236c8-66562529-f2c5b5633e800793;gz%22	https://wordpressboss.com/cp/wize-demo/contact.html	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/contact.html	(from https://wordpressboss.com/cp/wize-demo/)
21:44:34	100917/100917	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20May%202024%2004:44:33%20GMT	https://wordpressboss.com/cp/wize-demo/assets/images/about/me.jpg	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/images/about/me.jpg	(from https://wordpressboss.com/cp/wize-demo/)
21:44:35	33971/33971	---M-Z	200	added ('OK')	image/svg+xml	etag:%2284b3-664be6b4-b1ab7bf438096508;gz%22	https://wordpressboss.com/cp/wize-demo/assets/images/custom/work-scribble.svg	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/images/custom/work-scribble.svg	(from https://wordpressboss.com/cp/wize-demo/)
21:44:37	44965/44965	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20May%202024%2004:44:36%20GMT	https://wordpressboss.com/cp/wize-demo/assets/images/projects/work1.jpg	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/images/projects/work1.jpg	(from https://wordpressboss.com/cp/wize-demo/)
21:44:38	16106/16106	---M-Z	200	added ('OK')	text/html	etag:%223eea-6656252a-bba60820993d7c69;gz%22	https://wordpressboss.com/cp/wize-demo/single-project.html	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/single-project.html	(from https://wordpressboss.com/cp/wize-demo/)
21:44:40	48023/48023	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20May%202024%2004:44:38%20GMT	https://wordpressboss.com/cp/wize-demo/assets/images/projects/work2.jpg	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/images/projects/work2.jpg	(from https://wordpressboss.com/cp/wize-demo/)
21:44:42	148876/148876	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20May%202024%2004:44:40%20GMT	https://wordpressboss.com/cp/wize-demo/assets/images/projects/work3.jpg	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/images/projects/work3.jpg	(from https://wordpressboss.com/cp/wize-demo/)
21:44:43	113624/113624	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20May%202024%2004:44:42%20GMT	https://wordpressboss.com/cp/wize-demo/assets/images/projects/work4.jpg	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/images/projects/work4.jpg	(from https://wordpressboss.com/cp/wize-demo/)
21:44:45	20897/20897	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20May%202024%2004:44:44%20GMT	https://wordpressboss.com/cp/wize-demo/assets/images/projects/work5.jpg	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/images/projects/work5.jpg	(from https://wordpressboss.com/cp/wize-demo/)
21:44:46	2439/2439	---M--	200	added ('OK')	image/png	date:Thu,%2030%20May%202024%2004:44:45%20GMT	https://wordpressboss.com/cp/wize-demo/assets/images/client-logos/partner1.png	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/images/client-logos/partner1.png	(from https://wordpressboss.com/cp/wize-demo/)
21:44:47	1748/1748	---M--	200	added ('OK')	image/png	date:Thu,%2030%20May%202024%2004:44:46%20GMT	https://wordpressboss.com/cp/wize-demo/assets/images/client-logos/partner2.png	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/images/client-logos/partner2.png	(from https://wordpressboss.com/cp/wize-demo/)
21:44:48	2323/2323	---M--	200	added ('OK')	image/png	date:Thu,%2030%20May%202024%2004:44:47%20GMT	https://wordpressboss.com/cp/wize-demo/assets/images/client-logos/partner3.png	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/images/client-logos/partner3.png	(from https://wordpressboss.com/cp/wize-demo/)
21:44:49	2214/2214	---M--	200	added ('OK')	image/png	date:Thu,%2030%20May%202024%2004:44:48%20GMT	https://wordpressboss.com/cp/wize-demo/assets/images/client-logos/partner4.png	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/images/client-logos/partner4.png	(from https://wordpressboss.com/cp/wize-demo/)
21:44:50	2378/2378	---M--	200	added ('OK')	image/png	date:Thu,%2030%20May%202024%2004:44:49%20GMT	https://wordpressboss.com/cp/wize-demo/assets/images/client-logos/partner5.png	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/images/client-logos/partner5.png	(from https://wordpressboss.com/cp/wize-demo/)
21:44:52	89501/89501	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215d9d-664be6af-933d1d6b5d0f7b04;gz%22	https://wordpressboss.com/cp/wize-demo/assets/js/jquery-3.6.0.min.js	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/js/jquery-3.6.0.min.js	(from https://wordpressboss.com/cp/wize-demo/)
21:44:52	60088/60088	---M-Z	200	added ('OK')	application/x-javascript	etag:%22eab8-664be6ae-2df27e9fe287670a;gz%22	https://wordpressboss.com/cp/wize-demo/assets/js/bootstrap.min.js	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/js/bootstrap.min.js	(from https://wordpressboss.com/cp/wize-demo/)
21:44:53	1579/1579	---M-Z	200	added ('OK')	application/x-javascript	etag:%2262b-664be6ae-6dd1c02b800df2e5;gz%22	https://wordpressboss.com/cp/wize-demo/assets/js/appear.min.js	D:/My%20Web%20Sites/portfolio1/wordpressboss.com/cp/wize-demo/assets/js/appear.min.js	(from https://wordpressboss.com/cp/wize-demo/)
